search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
Uniqlo,1782974373089539,Uniqlo,101801262934836,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",DCO,Uniqlo,"Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9% | Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9%",N/A,N/A,https://facebook.com/61551828920412,2025-12-23,2025-12-24,1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,57.0,2.0,UNKNOWN,N/A,https://www.facebook.com/61551828920412/,2026-04-02 18:36:58
Uniqlo,1401151951718027,Uniqlo,101801262934836,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS",DCO,Uniqlo,"Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9% | Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9%",N/A,N/A,https://facebook.com/61551828920412,2025-12-23,2025-12-25,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,57.0,5.0,UNKNOWN,N/A,https://www.facebook.com/61551828920412/,2026-04-02 18:36:58
Uniqlo,25921888614062302,Uniqlo,101801262934836,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9% | Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9%",uniqlo.cn,Learn more,https://www.uniqlo.cn/tax_refund.html,2025-12-23,2025-12-25,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,57.0,3.0,UNKNOWN,N/A,https://www.facebook.com/61551828920412/,2026-04-02 18:36:58
Uniqlo,1565098998133777,Uniqlo,101801262934836,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9% | Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9%",uniqlo.cn,Learn more,https://www.uniqlo.cn/tax_refund.html,2025-12-23,2025-12-25,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,57.0,4.0,UNKNOWN,N/A,https://www.facebook.com/61551828920412/,2026-04-02 18:36:58
Uniqlo,766546613127919,Uniqlo,101801262934836,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9% | Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9%",uniqlo.cn,Learn more,https://www.uniqlo.cn/tax_refund.html,2025-12-23,2025-12-25,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,57.0,3.0,UNKNOWN,N/A,https://www.facebook.com/61551828920412/,2026-04-02 18:36:58
Uniqlo,1587520525583024,Uniqlo,101801262934836,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9% | Better Price at UNIQLO CHINA
Tax refund at UNIQLO 9%",uniqlo.cn,Learn more,https://www.uniqlo.cn/tax_refund.html,2025-12-23,2025-12-25,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,57.0,5.0,UNKNOWN,N/A,https://www.facebook.com/61551828920412/,2026-04-02 18:36:58
Uniqlo,1558380218535196,Uniqlo Australia,1380317535537209,INACTIVE,"FACEBOOK, INSTAGRAM",DCO,{{product.name}},Celebrate 10 years of UNIQLO UT x Disney with this one-of-a-kind Mickey Mouse plush toy in UNIQLO's signature flannel fabric. | Celebrate 10 years of UNIQLO UT x Disney with this one-of-a-kind Mickey ,uniqlo.com,Shop now,https://www.uniqlo.com/au/en/spl/ut/sanrio-characters?utm_medium=paid_social&utm_source=facebook&utm_campaign=25ss_sanriocharacters_ut&utm_content=awareness,2025-12-22,2025-12-31,9,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,269684.0,1.0,UNKNOWN,N/A,https://www.facebook.com/uniqlo.au/,2026-04-02 18:36:58
Uniqlo,1940227689963105,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DCO,N/A,"Light, breezy, easy - UNIQLO Linen lifts you. Discover the breeze at UNIQLO stores & APP! | Light, breezy, easy - UNIQLO Linen lifts you. Discover the breeze at UNIQLO stores & APP!",uniqlo.com,Learn more,https://www.uniqlo.com/id/id/women/linen,2026-04-01,2026-04-02,1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1765066951520278,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,VIDEO,N/A,"The favorite barrel shape, finished with a clean ankle cut. Cop yours now at UNIQLO!",www.uniqlo.com,Learn more,https://www.uniqlo.com/id/id/women/bottoms/wide-pants,2026-04-01,2026-04-02,1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1751233679268590,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM",DCO,{{product.name}},"Nyaman dengan bentuk yang modern, serta ringan dipakai dan mudah distyling.​

Celana Barel Jersey dibuat dari bahan katun jersey yang halus, dengan siluet barel yang memberi tampilan santai namun teta",uniqlo.com,Learn more,https://www.uniqlo.com/id/id/women/bottoms/wide-pants,2026-03-31,2026-04-02,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,3.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
